Time,M0,M14
0.000000,0,0
0.050000,0,0
0.100000,0,0
0.150000,0,0
0.200000,0,0
0.250000,0,0
0.300000,0,0
0.350000,0,0
0.400000,0,0
0.450000,0,0
0.500000,0,0
0.550000,0,0
0.600000,0,0
0.650000,0,0
0.700000,0,0
0.750000,0,0
0.800000,0,0
0.850000,0,0
0.900000,0,0
0.950000,0,0
1.000000,0,0
1.050000,0,0
1.100000,0,0
1.150000,0,4194
1.200000,0,8389
1.250000,0,12582
1.300000,1,16778
1.350000,2,20972
1.400000,3,25165
1.450000,5,29361
1.500000,7,33553
1.550000,10,41944
1.600000,14,50332
1.650000,18,58719
1.700000,24,67110
1.750000,31,75497
1.800000,39,83886
1.850000,48,92275
1.900000,59,100664
1.950000,72,109051
2.000000,87,117441
2.050000,103,125829
2.100000,121,134217
2.150000,142,142607
2.200000,165,150995
2.250000,190,159383
2.300000,218,167773
2.350000,249,176160
2.400000,282,184550
2.450000,318,192938
2.500000,358,201326
2.550000,401,209715
2.600000,446,218105
2.650000,496,226491
2.700000,549,234882
2.750000,606,243269
2.800000,666,251659
2.850000,731,260046
2.900000,799,268436
2.950000,872,276824
3.000000,949,285213
3.050000,1031,293601
3.100000,1117,301989
3.150000,1208,310380
3.200000,1304,318766
3.250000,1405,327156
3.300000,1511,335544
3.350000,1622,343934
3.400000,1739,352321
3.450000,1861,360710
3.500000,1989,369098
3.550000,2122,377488
3.600000,2262,385876
3.650000,2407,394265
3.700000,2558,402653
3.750000,2716,411042
3.800000,2881,419430
3.850000,3051,427819
3.900000,3229,436207
3.950000,3413,444597
4.000000,3604,452985
4.050000,3802,461373
4.100000,4007,469763
4.150000,4220,478150
4.200000,4440,486539
4.250000,4668,494928
4.300000,4903,503317
4.350000,5146,511704
4.400000,5397,520094
4.450000,5656,528483
4.500000,5923,536871
4.550000,6199,545259
4.600000,6483,553648
4.650000,6776,562037
4.700000,7077,570425
4.750000,7387,578814
4.800000,7706,587203
4.850000,8034,595591
4.900000,8372,603979
4.950000,8718,612369
5.000000,9075,620757
5.050000,9441,629146
5.100000,9816,637534
5.150000,10201,645922
5.200000,10597,654313
5.250000,11002,662699
5.300000,11418,671089
5.350000,11844,679477
5.400000,12281,687866
5.450000,12728,696254
5.500000,13186,704644
5.550000,13655,713031
5.600000,14135,721420
5.650000,14626,729810
5.700000,15128,738196
5.750000,15642,746587
5.800000,16167,754975
5.850000,16704,763363
5.900000,17252,771752
5.950000,17813,780140
6.000000,18385,788530
6.050000,18970,796917
6.100000,19567,805307
6.150000,20177,813694
6.200000,20798,822085
6.250000,21433,830471
6.300000,22081,838862
6.350000,22741,847248
6.400000,23414,855639
6.450000,24101,864026
6.500000,24801,872416
6.550000,25514,880803
6.600000,26241,889193
6.650000,26982,897581
6.700000,27736,905970
6.750000,28504,914357
6.800000,29287,922748
6.850000,30084,931135
6.900000,30895,939525
6.950000,31720,947912
7.000000,32560,956301
7.050000,33415,964690
7.100000,34285,973079
7.150000,35169,981467
7.200000,36069,989856
7.250000,36984,998244
7.300000,37914,1006633
7.350000,38860,1015021
7.400000,39821,1023411
7.450000,40798,1031798
7.500000,41791,1040188
7.550000,42801,1048576
7.600000,43826,1056965
7.650000,44867,1065353
7.700000,45925,1073741
7.750000,46999,1082131
7.800000,48090,1090519
7.850000,49198,1098908
7.900000,50322,1107296
7.950000,51464,1115685
8.000000,52623,1124073
8.050000,53799,1132462
8.100000,54992,1140851
8.150000,56203,1149240
8.200000,57432,1157627
8.250000,58679,1166017
8.300000,59943,1174405
8.350000,61225,1182793
8.400000,62526,1191183
8.450000,63845,1199571
8.500000,65182,1207960
8.550000,66538,1216347
8.600000,67913,1224738
8.650000,69306,1233124
8.700000,70718,1241515
8.750000,72150,1249902
8.800000,73601,1258292
8.850000,75070,1266679
8.900000,76560,1275069
8.950000,78069,1283457
9.000000,79598,1291845
9.050000,81146,1300235
9.100000,82715,1308622
9.150000,84303,1317012
9.200000,85912,1325401
9.250000,87541,1333787
9.300000,89191,1342178
9.350000,90861,1350566
9.400000,92552,1358954
9.450000,94264,1367344
9.500000,95997,1375731
9.550000,97751,1384120
9.600000,99526,1392510
9.650000,101323,1400897
9.700000,103141,1409286
9.750000,104981,1417674
9.800000,106842,1426065
9.850000,108726,1434451
9.900000,110631,1442841
9.950000,112558,1451229
10.000000,114508,1459617
10.050000,116481,1468008
10.100000,118475,1476394
10.150000,120493,1484784
10.200000,122533,1493172
10.250000,124596,1501561
10.300000,126682,1509949
10.350000,128791,1518338
10.400000,130924,1526727
10.450000,133080,1535115
10.500000,135260,1543504
10.550000,137463,1551893
10.600000,139690,1560281
10.650000,141941,1568669
10.700000,144216,1577059
10.750000,146515,1577668
10.800000,148838,1578278
10.850000,151186,1578887
10.900000,153557,1579499
10.950000,155953,1580107
11.000000,158372,1580718
11.050000,160816,1581326
11.100000,163284,1581938
11.150000,165776,1574769
11.200000,168292,1567598
11.250000,170832,1560431
11.300000,173395,1553262
11.350000,175982,1546092
11.400000,178592,1538924
11.450000,181226,1531754
11.500000,183883,1524587
11.550000,186564,1517416
11.600000,189267,1510249
11.650000,191993,1503079
11.700000,194742,1495910
11.750000,197514,1488742
11.800000,200308,1481573
11.850000,203125,1474403
11.900000,205964,1467235
11.950000,208826,1460065
12.000000,211710,1452898
12.050000,214615,1445728
12.100000,217543,1438559
12.150000,220493,1431390
12.200000,223464,1424221
12.250000,226457,1417053
12.300000,229471,1409884
12.350000,232507,1402714
12.400000,235564,1395545
12.450000,238643,1388378
12.500000,241742,1381208
12.550000,244862,1374038
12.600000,248003,1366871
12.650000,251165,1359701
12.700000,254348,1352533
12.750000,257551,1345363
12.800000,260775,1338195
12.850000,264019,1331025
12.900000,267283,1323857
12.950000,270567,1316688
13.000000,273871,1309518
13.050000,277195,1302351
13.100000,280539,1295181
13.150000,283902,1288012
13.200000,287285,1280844
13.250000,290687,1273674
13.300000,294109,1266506
13.350000,297550,1259336
13.400000,301010,1252168
13.450000,304489,1244999
13.500000,307987,1237830
13.550000,311504,1230661
13.600000,315039,1223492
13.650000,318593,1216323
13.700000,322165,1209155
13.750000,325756,1201985
13.800000,329365,1194817
13.850000,332992,1187648
13.900000,336637,1180478
13.950000,340300,1173310
14.000000,343981,1166141
14.050000,347679,1158972
14.100000,351395,1151804
14.150000,355129,1144633
14.200000,358880,1137466
14.250000,362648,1130296
14.300000,366433,1123128
14.350000,370236,1115959
14.400000,374055,1108790
14.450000,377891,1101620
14.500000,381743,1094452
14.550000,385613,1087284
14.600000,389498,1080114
14.650000,393401,1072945
14.700000,397319,1065776
14.750000,401254,1058608
14.800000,405204,1051438
14.850000,409171,1044270
14.900000,413153,1037101
14.950000,417151,1029932
15.000000,421165,1022762
15.050000,425194,1015595
15.100000,429239,1008425
15.150000,433299,1001256
15.200000,437374,994088
15.250000,441464,986918
15.300000,445569,979750
15.350000,449689,972580
15.400000,453823,965413
15.450000,457972,958242
15.500000,462136,951074
15.550000,466314,943905
15.600000,470507,936737
15.650000,474713,929566
15.700000,478934,922399
15.750000,483169,915230
15.800000,487417,908060
15.850000,491679,900892
15.900000,495955,893722
15.950000,500245,886555
16.000000,504548,879384
16.050000,508864,872217
16.100000,513193,865047
16.150000,517536,857878
16.200000,521891,850709
16.250000,526259,843541
16.300000,530640,836372
16.350000,535034,829202
16.400000,539440,822034
16.450000,543859,814865
16.500000,548290,807696
16.550000,552733,800527
16.600000,557188,793359
16.650000,561656,786188
16.700000,566135,779021
16.750000,570626,771852
16.800000,575129,764682
16.850000,579643,757514
16.900000,584169,750345
16.950000,588706,743175
17.000000,593254,736008
17.050000,597813,728838
17.100000,602384,721668
17.150000,606965,714502
17.200000,611557,707330
17.250000,616160,700163
17.300000,620773,692994
17.350000,625397,685824
17.400000,630031,678657
17.450000,634675,671486
17.500000,639330,664318
17.550000,643994,657149
17.600000,648669,649981
17.650000,653353,642810
17.700000,658047,635643
17.750000,662751,628474
17.800000,667464,621304
17.850000,672186,614136
17.900000,676918,606967
17.950000,681659,599798
18.000000,686409,592629
18.050000,691167,585460
18.100000,695935,578291
18.150000,700711,571122
18.200000,705496,563954
18.250000,710290,556784
18.300000,715092,549616
18.350000,719902,542447
18.400000,724720,535278
18.450000,729546,528108
18.500000,734381,520941
18.550000,739223,513770
18.600000,744073,506603
18.650000,748930,499434
18.700000,753795,492263
18.750000,758667,485096
18.800000,763547,477927
18.850000,768434,470758
18.900000,773328,463588
18.950000,778229,456420
19.000000,783137,449252
19.050000,788051,442081
19.100000,792972,434914
19.150000,797900,427744
19.200000,802834,420575
19.250000,807774,413407
19.300000,812721,406238
19.350000,817674,399068
19.400000,822632,391901
19.450000,827597,384730
19.500000,832567,377562
19.550000,837543,370393
19.600000,842525,363224
19.650000,847512,356056
19.700000,852504,348886
19.750000,857501,341717
19.800000,862504,334549
19.850000,867511,327380
19.900000,872524,320211
19.950000,877541,313042
20.000000,882563,305873
20.050000,887589,298704
20.100000,892620,291536
20.150000,897656,284365
20.200000,902695,277198
20.250000,907739,270029
20.300000,912786,262860
20.350000,917838,255690
20.400000,922893,248521
20.450000,927952,241354
20.500000,933014,234184
20.550000,938080,227015
20.600000,943150,219847
20.650000,948222,212676
20.700000,953298,205509
20.750000,958377,198340
20.800000,963459,191170
20.850000,968543,184002
20.900000,973630,176833
20.950000,978720,169664
21.000000,983812,162495
21.050000,988907,155326
21.100000,994004,148157
21.150000,999103,136794
21.200000,1004204,125431
21.250000,1009306,114068
21.300000,1014411,102704
21.350000,1019516,91342
21.400000,1024623,79977
21.450000,1029731,68616
21.500000,1034840,57251
21.550000,1039949,41694
21.600000,1045059,26136
21.650000,1050169,10580
21.700000,1055279,-4979
