Unnamed: 0,Time in ms,M0 in meter,MF231 in A
0,0.0,0.0,0.1
1,0.05,0.0,0.1
2,0.1,0.0,0.1
3,0.15,0.0,0.1
4,0.2,0.0,0.1
5,0.25,0.0,0.1
6,0.3,0.0,0.1
7,0.35,0.0,0.1
8,0.4,0.0,0.1
9,0.45,0.0,0.1
10,0.5,0.0,0.1
11,0.55,0.0,0.1
12,0.6,0.0,0.1
13,0.65,0.0,0.1
14,0.7,0.0,0.1
15,0.75,0.0,0.1
16,0.8,0.0,0.1
17,0.85,0.0,0.1
18,0.9,0.0,0.1
19,0.95,0.0,0.1
20,1.0,0.0,0.1
21,1.05,0.0,0.1
22,1.1,0.0,0.1
23,1.15,0.0,0.1
24,1.2,0.0,0.1
25,1.25,0.0,0.1
26,1.3,0.0,0.1
27,1.35,4.882812500000001e-10,0.1
28,1.4,9.765625000000002e-10,0.1
29,1.45,1.4648437500000002e-09,0.1
30,1.5,1.9531250000000003e-09,0.1
31,1.55,2.44140625e-09,0.1
32,1.6,3.906250000000001e-09,0.1
33,1.65,4.8828125e-09,0.1
34,1.7,6.34765625e-09,0.1
35,1.75,8.300781250000002e-09,0.1
36,1.8,1.07421875e-08,0.1
37,1.85,1.318359375e-08,0.1
38,1.9,1.611328125e-08,0.1
39,1.95,1.953125e-08,0.1
40,2.0,2.3437500000000004e-08,0.1
41,2.05,2.8320312500000007e-08,0.1
42,2.1,3.3203125000000006e-08,0.1
43,2.15,3.90625e-08,0.1
44,2.2,4.5410156250000005e-08,0.1
45,2.25,5.2246093750000006e-08,0.1
46,2.3,5.957031250000001e-08,0.1
47,2.35,6.835937500000001e-08,0.1
48,2.4,7.714843750000001e-08,0.1
49,2.45,8.740234375000001e-08,0.1
50,2.5,9.814453125000003e-08,0.1
51,2.55,1.0986328125e-07,0.1
52,2.6,1.2255859375e-07,0.1
53,2.65,1.3623046875000006e-07,0.1
54,2.7,1.5087890625e-07,0.1
55,2.75,1.66015625e-07,0.1
56,2.8,1.826171875e-07,0.1
57,2.85,2.0068359375000006e-07,0.1
58,2.9,2.1923828125000004e-07,0.1
59,2.95,2.3925781250000005e-07,0.1
